1|10
2|3
3|16
4|7
5|13
6|12
7|6
8|14
9|9
10|11
11|8
12|4
13|5
14|15
15|1
16|2
17|16
18|15
19|1
20|2
21|14
22|3
23|7
24|12
25|13
26|10
27|8
28|6
29|4
30|5
31|9
32|11
33|1
34|8
35|2
36|5
37|9
38|10
39|6
40|7
41|4
42|16
43|15
44|3
45|14
46|12
47|11
48|13
49|11
50|6
51|2
52|13
53|3
54|9
55|7
56|5
57|10
58|15
59|4
60|8
61|12
62|1
63|14
64|16
65|13
66|4
67|14
68|11
69|8
70|6
71|1
72|12
73|2
74|15
75|7
76|3
77|10
78|16
79|9
80|5
81|2
82|9
83|15
84|12
85|7
86|8
87|11
88|10
89|3
90|6
91|4
92|1
93|5
94|16
95|13
96|14
97|8
98|6
99|11
100|3
101|5
102|4
103|13
104|9
105|12
106|1
107|16
108|7
109|15
110|14
111|10
112|2
113|4
114|6
115|11
116|8
117|13
118|14
119|15
120|10
121|1
122|7
123|12
124|3
125|2
126|9
127|5
128|16
129|6
130|10
131|8
132|13
133|14
134|7
135|4
136|2
137|16
138|9
139|12
140|11
141|15
142|5
143|1
144|3
145|6
146|13
147|8
148|14
149|7
150|4
151|5
152|9
153|15
154|3
155|12
156|16
157|10
158|1
159|2
160|11
161|4
162|3
163|10
164|9
165|7
166|11
167|2
168|5
169|12
170|6
171|1
172|13
173|14
174|8
175|15
176|16
177|5
178|3
179|4
180|14
181|16
182|1
183|7
184|8
185|10
186|15
187|6
188|9
189|12
190|11
191|2
192|13
193|16
194|9
195|2
196|4
197|1
198|6
199|10
200|8
201|14
202|13
203|7
204|11
205|12
206|15
207|5
208|3
209|3
210|12
211|13
212|5
213|16
214|15
215|8
216|10
217|9
218|1
219|2
220|6
221|4
222|7
223|14
224|11
225|6
226|13
227|14
228|10
229|7
230|15
231|9
232|12
233|2
234|1
235|5
236|8
237|16
238|4
239|11
240|3
241|15
242|14
243|11
244|16
245|9
246|10
247|2
248|8
249|5
250|13
251|4
252|3
253|7
254|12
255|6
256|1
